model,split,feature_set,n_train,n_test,n_features,cv_best_balanced_accuracy,train_accuracy,test_accuracy,train_balanced_accuracy,test_balanced_accuracy,train_precision,test_precision,train_recall,test_recall,train_f1,test_f1,train_roc_auc,test_roc_auc,train_pr_auc,test_pr_auc,true_healthy_pred_healthy,true_healthy_pred_parkinson,true_parkinson_pred_healthy,true_parkinson_pred_parkinson,top_1_feature,top_1_importance,top_2_feature,top_2_importance,top_3_feature,top_3_importance,best_params,features_used
HGB,split_a_imputed,all_features,152,43,22,0.868271221532091,0.9802631578947368,0.8837209302325582,0.967911877394636,0.7916666666666667,0.9829059829059829,0.8611111111111112,0.9913793103448276,1.0,0.9871244635193133,0.9253731343283582,0.997844827586207,0.803763440860215,0.9993250181931501,0.843629989737935,7,5,0,31,spread1,0.1849462365591399,MDVP:Fhi(Hz),0.06250000000000006,spread2,0.031250000000000056,"{""l2_regularization"": 0.1, ""learning_rate"": 0.1, ""max_iter"": 200, ""max_leaf_nodes"": 5, ""min_samples_leaf"": 20}",MDVP:Fo(Hz); MDVP:Fhi(Hz); MDVP:Flo(Hz); MDVP:Jitter(%); MDVP:Jitter(Abs); MDVP:RAP; MDVP:PPQ; Jitter:DDP; MDVP:Shimmer; MDVP:Shimmer(dB); Shimmer:APQ3; Shimmer:APQ5; MDVP:APQ; Shimmer:DDA; NHR; HNR; RPDE; DFA; spread1; spread2; D2; PPE
HGB,split_a_imputed,jitter_shimmer_only,152,43,8,0.7110507246376812,0.993421052631579,0.8604651162790697,0.9861111111111112,0.75,0.9914529914529915,0.8378378378378378,1.0,1.0,0.9957081545064378,0.9117647058823529,0.9988026819923371,0.7419354838709677,0.9996251307092864,0.8844487260916591,6,6,0,31,MDVP:Jitter(Abs),0.23501344086021508,Shimmer:APQ5,0.17466397849462362,Jitter:DDP,0.06162634408602148,"{""l2_regularization"": 1.0, ""learning_rate"": 0.1, ""max_iter"": 100, ""max_leaf_nodes"": 15, ""min_samples_leaf"": 5}",MDVP:Jitter(%); MDVP:Jitter(Abs); Jitter:DDP; MDVP:Shimmer; MDVP:Shimmer(dB); Shimmer:APQ3; Shimmer:APQ5; Shimmer:DDA
HGB,split_b_deleted_missing,all_features,146,41,22,0.88437794089968,0.9726027397260274,0.8536585365853658,0.9393939393939394,0.75,0.9658119658119658,0.8285714285714286,1.0,1.0,0.9826086956521739,0.90625,0.9906141056583535,0.8879310344827587,0.9968401871928201,0.9378360173845883,6,6,0,29,spread1,0.19216954022988508,MDVP:Fo(Hz),0.012499999999999989,MDVP:Flo(Hz),0.0,"{""l2_regularization"": 1.0, ""learning_rate"": 0.1, ""max_iter"": 300, ""max_leaf_nodes"": 10, ""min_samples_leaf"": 10}",MDVP:Fo(Hz); MDVP:Fhi(Hz); MDVP:Flo(Hz); MDVP:Jitter(%); MDVP:Jitter(Abs); MDVP:RAP; MDVP:PPQ; Jitter:DDP; MDVP:Shimmer; MDVP:Shimmer(dB); Shimmer:APQ3; Shimmer:APQ5; MDVP:APQ; Shimmer:DDA; NHR; HNR; RPDE; DFA; spread1; spread2; D2; PPE
HGB,split_b_deleted_missing,jitter_shimmer_only,146,41,8,0.7163937511763597,0.958904109589041,0.8536585365853658,0.9412711182622686,0.75,0.9734513274336283,0.8285714285714286,0.9734513274336283,1.0,0.9734513274336283,0.90625,0.9902118530437114,0.7442528735632185,0.9968816590730736,0.8562540827195259,6,6,0,29,MDVP:Jitter(Abs),0.2419540229885057,Shimmer:APQ5,0.2112787356321839,MDVP:Jitter(%),0.06961206896551726,"{""l2_regularization"": 0.1, ""learning_rate"": 0.1, ""max_iter"": 100, ""max_leaf_nodes"": 10, ""min_samples_leaf"": 10}",MDVP:Jitter(%); MDVP:Jitter(Abs); Jitter:DDP; MDVP:Shimmer; MDVP:Shimmer(dB); Shimmer:APQ3; Shimmer:APQ5; Shimmer:DDA
